Unnamed: 0,doc_id,paragraph_id,source_text,target_text,error_types,num_errors,source_file,has_sec,mec_only
4385,27,3,Having to meet and interact for talks allows one to be closer to the recepient.,Having to meet and interact for talks allows one to be closer to the recipient.,['Mec'],1,official-2014.1.sgml,True,True
4417,28,4,It also helps people to develop their interpersonal skills through online chating.,It also helps people to develop their interpersonal skills through online chatting.,['Mec'],1,official-2014.1.sgml,True,True
4430,29,1,I met some canadian friends in Egypt.,I met some Canadian friends in Egypt.,['Mec'],1,official-2014.1.sgml,True,True
4461,30,2,"But, there will still be unreliable sources spreading false information on social media sites despite high security to control almost every social networking movement.","But, there will still be unreliable sources spreading false information on social media sites, despite high security to control almost every social networking movement.",['Mec'],1,official-2014.1.sgml,True,True
4465,30,3,"Therefore, with the help of technology, people are able to catch up wth each other conveniently.","Therefore, with the help of technology, people are able to catch up with each other conveniently.",['Mec'],1,official-2014.1.sgml,True,True
4521,32,4,People should avoid the misuse of socia media and use it in the proper way.,People should avoid the misuse of social media and use it in the proper way.,['Mec'],1,official-2014.1.sgml,True,True
4535,33,1,It might not be able to replace the joy that you have when you are with your family but it could help to reduce the sadness of being away from your family.,"It might not be able to replace the joy that you have when you are with your family, but it could help to reduce the sadness of being away from your family.",['Mec'],1,official-2014.1.sgml,True,True
4538,33,2,This is because it is part of everyone's habit to check their facebook's page as their friends will post something new every second.,"This is because it is part of everyone's habit to check their Facebook page, as their friends will post something new every second.","['Npos', 'Mec']",2,official-2014.1.sgml,True,False
4539,33,2,"Thus, you can see that some students will browse facebook while attending lectures.","Thus, you can see that some students will browse Facebook while attending lectures.",['Mec'],1,official-2014.1.sgml,True,True
4561,34,3,Furthermore this also possibly triggers the privacy issues as the Facebook allows some other profit-driven companies to have access to the information on the users.,"Furthermore, this also possibly triggers the privacy issues as  Facebook allows some other profit-driven companies to have access to the information on the users.","['Mec', 'ArtOrDet']",2,official-2014.1.sgml,True,False
4697,40,1,"Secondly, it helps people to keep in-touch with one another.","Secondly, it helps people to keep in touch with one another.",['Mec'],1,official-2014.1.sgml,True,True
4701,40,1,"Hence, it is undeniable that these sites play an important role in our global inter-connected world.","Hence, it is undeniable that these sites play an important role in our global interconnected world.",['Mec'],1,official-2014.1.sgml,True,True
4716,41,1,"With a small smart phone or a computer at school, at work or at home, we can easily make friends worldwide with a 'click' and get to know about their life through having conversations with them, reading their blogs, photos and status.","With a small smartphone or a computer at school, at work or at home, we can easily make friends worldwide with a 'click' and get to know about their life through having conversations with them, reading their blogs, photos and status.",['Mec'],1,official-2014.1.sgml,True,True
4719,41,2,This shows that a facebook friend may know more about you than your close friend who does not have a facebook account.,This shows that a Facebook friend may know more about you than your close friend who does not have a Facebook account.,"['Mec', 'Mec']",2,official-2014.1.sgml,True,False
4735,42,1,"Through those sites we are able to talk to them, to know what their activities are and who their friends are, etc.","Through those sites, we are able to talk to them, to know what their activities are and who their friends are, etc.",['Mec'],1,official-2014.1.sgml,True,True
4747,42,2,Nowadays we cannot really trust new people whom we know from social media since we will never know whether they are even 'real'.,"Nowadays, we cannot really trust new people whom we know from social media, since we will never know whether they are even 'real'.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
4785,44,1,When we use facebook and post pictures and statuses.,When we use Facebook and post pictures and statuses.,"['Mec', 'Sfrag']",2,official-2014.1.sgml,True,False
4806,44,3,From the above two points of view I think social media could forge more interest-based friendships.,"From the above two points of view, I think social media could forge more interest-based friendships.",['Mec'],1,official-2014.1.sgml,True,True
4891,49,1,"We communicate with others using social media, such as twitter, facebook and microblog more and more frequently.","We communicate with others using social media, such as Twitter, Facebook and microblog more and more frequently.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
4892,49,1,"There is no need to for people to go out of their home to interact with others, they chat online, share pictures, tell others what they have done or funny stories.","There is no need  for people to go out of their home to interact with others. They chat online, share pictures, tell others what they have done or funny stories.","['Prep', 'Mec']",2,official-2014.1.sgml,True,False
4908,49,5,"If there is a joke on their facebook page, they may talk to others in this way, ""hi, look, how ridiculous this is"", then they laugh together.","If there is a joke on their Facebook page, they may talk to others in this way: ""hi, look, how ridiculous this is"". Then they laugh together.","['Mec', 'Mec', 'Mec']",3,official-2014.1.sgml,True,False
4959,2,3,"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective, these findings are important because if lay constructs of the family and kinship are a social construct, they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","['Mec', 'Mec']",2,official-2014.0.sgml,True,False
4963,3,0,"In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows.","In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others know about the risk so that his/her familay members are able to perform some daily exercises to prevent the potential disease or they may go to hospital and check for the corresponding flows.","['Vform', 'Wci', 'Mec']",3,official-2014.0.sgml,True,False
4968,3,1,"Therefore, to keep the information as secret to his/her future spouce would help the relationship.","Therefore, to keep the information as secret to his/her future spouse would help the relationship.",['Mec'],1,official-2014.0.sgml,True,True
4986,4,1,What is the basic difference between genetic disorder and other disorders.,What is the basic difference between genetic disorder and other disorders?,['Mec'],1,official-2014.0.sgml,True,True
4988,4,1,"However, there are many problems againt the execution of asking a carrier to tell his or her ralatives the cause of his or her diseases.","However, there are many problems againt the execution of asking a carrier to tell his or her relatives the cause of his or her diseases.",['Mec'],1,official-2014.0.sgml,True,True
4992,4,1,How can a law made by government exempt such a group of people from preparing to face their potetial disease?,How can a law made by government exempt such a group of people from preparing to face their potential disease?,['Mec'],1,official-2014.0.sgml,True,True
5066,8,1,She or he does not want to be the source of unhappiness in thefamily.,She or he does not want to be the source of unhappiness in the family.,['Mec'],1,official-2014.0.sgml,True,True
5109,11,0,"However, it leads to a new problem that ""should a carrier of a known genetic risk be obligated to tell his or her relatives?"" This issue has been discussed for a long time.","However, it leads to a new problem: ""should a carrier of a known genetic risk be obligated to tell his or her relatives?"" This issue has been discussed for a long time.","['Mec', 'Ssub']",2,official-2014.0.sgml,True,False
5142,12,2,"Seconly, the relatives of the carrier can also choose to do genetic testing regardless of the dignosis of the carrier.","Secondly, the relatives of the carrier can also choose to do genetic testing regardless of the dignosis of the carrier.",['Mec'],1,official-2014.0.sgml,True,True
5152,12,4,"Otherwise, making it an obligation will restric the choice of carriers and bring a lot of confusion to their relatives.","Otherwise, making it an obligation will restrict the choice of carriers and bring a lot of confusion to their relatives.",['Mec'],1,official-2014.0.sgml,True,True
5197,16,1,"Take H1N1 as an example, all the people in Singapore including students at school, travelers at the Changi Airport, workers in the office as well as passengers on the street are forced by law to take their temperature and report the result to the relevant government authority in charge.","Take H1N1 as an example, all the people in Singapore including students at school, travelers at the Changi Airport, workers in the office as well as passengers on the street, are forced by law to take their temperature and report the result to the relevant government authority in charge.",['Mec'],1,official-2014.0.sgml,True,True
5226,18,1,"The situation may become worst if the child has diseases like cancer or heart disease, which means that parents have another heavy baggage named medication fees.","The situation may become worse if the child has diseases like cancer or heart disease, which means that parents have another heavy baggage: medication fees.","['Wform', 'Mec', 'Rloc-']",3,official-2014.0.sgml,True,False
5241,19,2,They could save the cost of runing two separate tests to see whether they are under high risk of having disease C.,They could save the cost of running two separate tests to see whether they are under high risk of having disease C.,['Mec'],1,official-2014.0.sgml,True,True
5245,19,2,"Most people care about their relatives, if there is no serious consequence of telling them so, I assume most of them will tell their relatives to be careful.","Most people care about their relatives: if there is no serious consequence of telling them so, I assume most of them will tell their relatives to be careful.",['Mec'],1,official-2014.0.sgml,True,True
5248,19,3,He or she might even be adviced not to get married or have children.,He or she might even be advised not to get married or have children.,['Mec'],1,official-2014.0.sgml,True,True
5249,19,3,"For example, if an unmarried person has gene Aa and gene aa is sufficient for a very seriou disease.","For example, if an unmarried person has gene Aa and gene aa is sufficient for a very serious disease,","['Mec', 'Mec']",2,official-2014.0.sgml,True,False
5293,23,1,Once people's genetic information is told to other people.,"Once people's genetic information is told to other people,",['Mec'],1,official-2014.0.sgml,True,True
5365,27,1,"The receipent,will then receive the information almost immediately depending on the quality of the network.","The recipient,will then receive the information almost immediately depending on the quality of the network.",['Mec'],1,official-2014.0.sgml,True,True
5366,27,1,This covenience can be percieved as almost in realtime.,This convenience can be percieved as almost in realtime.,['Mec'],1,official-2014.0.sgml,True,True
5370,27,3,"However, it is a good practice not to intesively use social media all the time.","However, it is a good practice not to intensely use social media all the time.",['Mec'],1,official-2014.0.sgml,True,True
5398,28,4,It also helps people to develop their interpersonal skills through online chating.,It also helps people to develop their interpersonal skills through online chatting.,['Mec'],1,official-2014.0.sgml,True,True
5403,29,0,"However, its disadvantages also cannot be ingnored when you cosider it as a platform to show off and a stage for cyber crime.","However, its disadvantages also cannot be ignored when you consider it as a platform to show off and a stage for cyber crime.","['Mec', 'Mec']",2,official-2014.0.sgml,True,False
5431,30,2,"The spreading of false information can be a potential psychological threat to everyone, given that social media can disseminate information in a realtively fast speed.","The spreading of false information can be a potential psychological threat to everyone, given that social media can disseminate information in a relatively fast speed.",['Mec'],1,official-2014.0.sgml,True,True
5437,30,3,"Therefore, with the help of technology, people are able to catch up wth each other conveniently.","Therefore, with the help of technology, people are able to catch up with each other conveniently.",['Mec'],1,official-2014.0.sgml,True,True
5462,32,1,This can be easily seen in restaurants or cafes nowadays.,This can be easily seen in restaurants or cafes nowadays.,['Mec'],1,official-2014.0.sgml,True,True
5475,32,3,"When one of his friends who is not aware of this has failed to contact him via telephone calls, he might be able to get his whereabout using social media.","When one of his friends who is not aware of this has failed to contact him via telephone calls, he might be able to get his whereabouts using social media.",['Mec'],1,official-2014.0.sgml,True,True
5478,32,4,People should avoid the misuse of socia media and use it in the proper way.,People should avoid the misuse of social media and use it in the proper way.,['Mec'],1,official-2014.0.sgml,True,True
5502,34,2,"Another problem with social media is that, the benefits from investing such enormous time and energy is not relfected as something positive to the users.","Another problem with social media is that, the benefits from investing such enormous time and energy is not reflected as something positive to the users.",['Mec'],1,official-2014.0.sgml,True,True
5510,34,3,"As this happens, users are more and more pron to any possible frauds.","As this happens, users are more and more prone to any possible frauds.",['Mec'],1,official-2014.0.sgml,True,True
5660,41,5,"In conclusion, the use of social media has more advantages than disadvantages to our daily lifes.","In conclusion, the use of social media has more advantages than disadvantages to our daily lives.",['Mec'],1,official-2014.0.sgml,True,True
5676,42,2,Nowadays we cannot really trust new people whom we know from social media since we will never know whether they are even 'real'.,"Nowadays, we cannot really trust new people whom we know from social media since we will never know whether they are even 'real'.",['Mec'],1,official-2014.0.sgml,True,True
