,doc_id,paragraph_id,source_text,target_text,error_types,num_errors,source_file,has_sec,mec_only
1209,19,0,Surveillance technology such as RFID(radio-frequency identification) has been made possible to track people by implanting certain markers on people or products.,Surveillance technology such as RFID (radio-frequency identification) has been made it possible to track people by implanting certain markers on people or products.,"['Mec', 'Others']",2,official.sgml,True,False
1211,19,0,"However, with respect of civil rights and privacy, surveillance technology such as RFID(radio-frequency identification) shall not be used to track people.","However, because of civil rights and privacy, surveillance technology such as RFID (radio-frequency identification) should not be used to track people.","['Trans', 'Mec', 'Vm']",3,official.sgml,True,False
1218,19,2,"Some people may claim that it is good for security as when every one is under tracking, those poteintial criminals also are.",Some people may claim that it is good for security  when everyone is under surveillance becasue  poteintial criminals also are.,"['Trans', 'Mec', 'Wci', 'Srun', 'ArtOrDet']",5,official.sgml,True,False
1219,19,2,By logic it seems perfectly right.,"Logically , it seems perfectly right.","['Prep', 'Wform', 'Mec']",3,official.sgml,True,False
1223,19,2,Many science fictions have made good efforts in describing a future of human in which every body in society is put under close surveilliance of the governments.,Many science fiction authors have displayed good effort in describing a future  in which everybody in society is put under close surveilliance by the government.,"['Wci', 'Wci', 'Nn', 'Rloc-', 'Mec', 'Prep', 'Nn']",7,official.sgml,True,False
1225,19,2,"In history, there were times when the government wants to secure its gorvernance so badly that its police sniffed around people like dogs, such as the Nazi Germany, the Soveit Union.","In history, there were times when  governments , such as Nazi Germany or the Soviet Union, wanted to secure their governance so badly that the police sniffed around people like dogs..","['ArtOrDet', 'Nn', 'Smod', 'Pref', 'Mec', 'ArtOrDet', 'Mec']",7,official.sgml,True,False
1229,19,3,And all the evidences have been collected by hidden surveillance when he though he was expressing his opinion in the safe house!,And all the evidence has been collected through hidden surveillance when he thought he was safely expressing his opinion in his  house!,"['Nn', 'SVA', 'Prep', 'Mec', 'WOadv', 'ArtOrDet', 'Wci']",7,official.sgml,True,False
1230,19,4,"In summery, surveillance technology shall not be used to track people in order to keep the society comfortable and safe to live in.","In summary, surveillance technology should not be used to track people in order to keep  society comfortable and safe to live in.","['Mec', 'Vm', 'ArtOrDet']",3,official.sgml,True,False
1236,20,1,We benefit from Surveillance technology for many years and in many ways.,We have benefitted from surveillance technology for many years and in many ways.,"['Vt', 'Mec']",2,official.sgml,True,False
1243,20,1,We cannot deny that Surveillance technology is a great achievement that securing us and protect us from criminal but we also cannot ignore the lease of our privacy and even limit our freedom.,We cannot deny that surveillance technology is a great achievement that secures us and protects us from criminals but we also cannot ignore the loss of our privacy and even limits to our freedom.,"['Mec', 'Vform', 'SVA', 'Nn', 'Mec', 'Nn', 'Prep']",7,official.sgml,True,False
1249,20,2,Such a nightmare owes to abuse of Surveillance technology.,Such a nightmare is because of overuse of surveillance technology.,"['Wci', 'Trans', 'Wci', 'Mec']",4,official.sgml,True,False
1251,20,2,"According to article Lawful Interception, in US, every telecommunication companies have contract with FBI, requiring them to keep the phone call record easily searchable and accessible for FBI.","According to thearticle, ""Lawful Interception"", in the US, every telecommunication company has a contract with the FBI, requiring them to keep  phone call records easily searchable and accessible tothe FBI.","['ArtOrDet', 'Mec', 'Cit', 'ArtOrDet', 'Nn', 'SVA', 'ArtOrDet', 'ArtOrDet', 'ArtOrDet', 'Nn', 'Prep', 'ArtOrDet']",12,official.sgml,True,False
1257,20,3,Our life is not only exposed to big brother.,Our lives is not only exposed to Big Brother.,"['Nn', 'Mec']",2,official.sgml,True,False
1260,21,0,"Because of the surveillance technology, more and more things are under track and more and more clues can be used.","Because of  surveillance technology, more and more things being  tracked and more and more clues can be used.","['ArtOrDet', 'Vform', 'Prep', 'Wa']",4,official.sgml,True,False
1270,21,2,"On the other side, the technology can also be probably used by the lawbreader to commit crimes.","On the other side, the technology could also be used by the lawbreakers to commit crimes.","['Vm', 'Mec']",2,official.sgml,True,False
1285,22,1,"Illustrations that is both hypothetical and yet concrete are action spy movies, such as the Bourne identity.","Examples that are  hypothetical and yet concrete are action spy movies, such as the Bourne Identity.","['Wci', 'SVA', 'Trans', 'Mec']",4,official.sgml,True,False
1296,22,5,"Still the possible downfall of these surveillance technologies is too present in my paranoid mind and they clearly overweight the benefits, in my opinion.","Still the possible disadvantages of these surveillance technologies is too present in my paranoid mind and they clearly outweigh the benefits, in my opinion.","['Wci', 'Mec']",2,official.sgml,True,False
1316,24,0,"In the United States, after the horrible attack on 11 September, the US congress passed the Patriot Act, which is mainly to increase domestic surveillance, to counter against the terrorists.","In the United States, after the horrible attack on 11 September, the US Congress passed the Patriot Act, which is mainly to increase domestic surveillanceas a counter against  terrorism.","['Mec', 'Trans', 'ArtOrDet', 'ArtOrDet', 'Wform']",5,official.sgml,True,False
1325,24,1,"However, the fact is that such technology will create check points everywhere.","However, the fact is that such technology will create checkpoints everywhere.",['Mec'],1,official.sgml,True,True
1339,25,0,"Recently, a new coming surveillance technology called radio-frequency identification which is RFID for short has caused heated discussions on whether it should be used to track people.","Recently, a newlydeveloping surveillance technology called radio-frequency identification,or RFID for short, has generated heated discussions on whether it should be used to track people.","['Wform', 'Wci', 'Mec', 'Trans', 'Mec', 'Wci']",6,official.sgml,True,False
1341,25,0,"However, As far as I am concerned, using RFID to track specific people can be very helpful in situations such as scientific exploration, rescue and police events.","However, as far as I am concerned, using RFID to track specific people can be very helpful in situations such as scientific exploration, rescues and police activities.","['Mec', 'Nn', 'Wci']",3,official.sgml,True,False
1352,25,3,"By getting the track of the suspensors, police officers can decide who the criminal exactly is sooner and easier to gain the truth behind the criminal event.","By keeping  track of the suspects, police officers can decide exactly who the criminal is sooner and more easily  learn the truth behind the crime.","['Wci', 'ArtOrDet', 'Mec', 'WOadv', 'Wform', 'Prep', 'Wci', 'Wci']",8,official.sgml,True,False
1361,26,1,"Without doubt, surveillance technology is going against the right since it leaks out people's information without getting their permission.",Without doubtlivesveillance techeverybody's going against the right since it leaks out people's information without getting their permission.,"['Mec', 'Wform']",2,official.sgml,True,False
1366,26,3,"For example, thieves can easily find out the best time to visit our houses and kidnappers can take away our kids every time if they are informed of everyone's location.","For example, thieves can easily find out the best tlifeo visit our houses and kidnappers can take away our kids every time if they are informed of everyone's location.",['Mec'],1,official.sgml,True,True
1372,27,0,"However, it is considered as an achievement as there is low competency in workforce.","However, it can be considered  an advantage as there is littlecompetition in the workforce.","['Vm', 'Trans', 'Wci', 'Wci', 'Mec', 'ArtOrDet']",6,official.sgml,True,False
1380,27,1,"More importantly, Singapore wants to be a knowledge based country, more highly educated people are required.","More importantly, Singapore wants to be a knowledge-based country and more highly educated people are required.","['Mec', 'Srun']",2,official.sgml,True,False
1389,27,3,"Despite the challenges from ageing population, it is an achievement as less people are in competency to bid for one job position.","Despite the challenges of an aging population, it can be an advantage as less people are in competition to bid for one job position.","['Prep', 'ArtOrDet', 'Vm', 'Wci', 'Mec']",5,official.sgml,True,False
1399,28,1,"When people start to age, many diseases will surface up un-noticing.","When people start to age, many diseases will surface unnoticed.","['Prep', 'Wa']",2,official.sgml,True,False
1408,28,2,The more exercise or any other forms of work out can prolong the lifespan of people.,More exercise or any other forms of workout can prolong the lifespan of people.,"['ArtOrDet', 'Mec', 'Mec']",3,official.sgml,True,False
1412,28,3,"As life could be precious, an ageing population could be an advantage as well as a disadvantage to a particular country.",An ageing population could be an advantage as well as a disadvantage to a particular country.,"['Um', 'Mec']",2,official.sgml,True,False
1418,29,1,"The rising life expectancies may be due to several different reasons, for example , it may be because of the improvement of the living condition , or because of the upgrade of the cleanness of the living environment, or because of the wide arrange of nutrition that absorbed by the human, or because of the development of the medication system in the country.","Rising life expectancy may be due to several different reasons, for example , it may be because of the improvement in living conditions  or because of the upgraded   cleanliness of the living environment, or because of the wide range of nutrition that is absorbed by  humans, or because of the development of the medical system in the country.","['ArtOrDet', 'Mec', 'Nn', 'Prep', 'ArtOrDet', 'Nn', 'Mec', 'Wform', 'Prep', 'ArtOrDet', 'Wform', 'Wci', 'Vform', 'ArtOrDet', 'Nn', 'Wform']",16,official.sgml,True,False
1419,29,2,No matter which reason stated above exactly dominant to the rising of life expectancies it is one of the evidence of the achievement of human nation.,"No matter which reason stated above is responsible for  rising  life expectancy , it is  evidence of the achievement of the humanrace.","['V0', 'Rloc-', 'Wci', 'Prep', 'ArtOrDet', 'Prep', 'Nn', 'Mec', 'Rloc-', 'ArtOrDet', 'Wci']",11,official.sgml,True,False
1422,29,2,The rising of life expectancies shows the human nation has overcome some of the challenges of the natural environment around us during the existence of so many centuries therefore it is an achievement.,"The rising  life expectancy shows the human nation has overcome some of the challenges of the natural environment around us during the existence of so many centuries; therefore, it is an achievement.","['Prep', 'Nn', 'Srun', 'Mec']",4,official.sgml,True,False
1423,29,3,"However , the rising of life expectancies is also a challenge to the entire human nation.","However,  rising  life expectancy is also a challenge to the entire human race.","['Mec', 'ArtOrDet', 'Prep', 'Nn', 'Wci']",5,official.sgml,True,False
1426,29,3,"And also the over crowded modern cities also raise problem of public transportations, unevenly distributed wealth and education resources shortage also are the problems that some countries that may face to .","Theovercrowded modern cities also raise problem of public transportation, unevenly distributed wealth and education resource shortages  are the problems that some countries  may have face to .","['Trans', 'Mec', 'Mec', 'Nn', 'Nn', 'Nn', 'Trans', 'Ssub', 'Vm', 'WOinc']",10,official.sgml,True,False
1429,29,5,"For developing countries, they may encounter more about the shortage of food resources and and the problem of how to develop better medication system to serve the entire nation, and they also face the problem of how to distribute the wealth evenly to benefit the entire population, more over they need to consider carefully how to build the education system so that the next generation of the population will be able to carry on to raise the whole country.","For developing countries, they may encounter more   shortage of food resources  and the problem of how to develop a better medical system to serve the entire nationThey also face the problem of how to distribute  wealth evenly to benefit the entire population.Moreover, they need to consider carefully how to build the education system so that the next generation  will be able to carry on to improve the whole country.","['Prep', 'ArtOrDet', 'Rloc-', 'SVA', 'Wform', 'Rloc-', 'ArtOrDet', 'Mec', 'Mec', 'Rloc-', 'Wci']",11,official.sgml,True,False
1430,29,6,"For developed countries, the challenge they face mainly are the over crowded modern cities usually face the public transportation problem and also the unevenly distributed wealth which result in that some of the population unable to benefit from the development of the human society in terms of technology which improve the life quality.","For developed countries, the challenge they face are mainly that theovercrowded modern cities usually have a public transportation problems and also  unevenly distributed wealth which results in  some of the population being unable to benefit from the development of  human society in terms of technology which improves the quality of life.","['WOadv', 'Ssub', 'Mec', 'Wci', 'ArtOrDet', 'Nn', 'ArtOrDet', 'SVA', 'Ssub', 'Vform', 'ArtOrDet', 'Vt', 'Wci']",13,official.sgml,True,False
1431,29,7,"In conclutin, the rising life expectancies can be considered both challenge and achievement.","In conclusion,  rising life expectancy can be considered both challenge and achievement.","['Mec', 'ArtOrDet', 'Nn']",3,official.sgml,True,False
1441,30,2,"On the other hand , the rising life expectancy can also be an indication, though not entirely, of a country's reputation to their citizens.","On the other hand,  rising life expectancy can also be an indication, though not entirely, of a country's responsibility to their citizens.","['Mec', 'ArtOrDet', 'Wci']",3,official.sgml,True,False
1450,30,4,"As an overall, the rising life expectancies can be considered as a pro and con to the country.","Overall,  rising life expectancy can be considered as anadvantage and disadvantage to the country.","['Trans', 'ArtOrDet', 'Mec', 'ArtOrDet', 'Nn', 'ArtOrDet', 'Wci', 'Wci']",8,official.sgml,True,False
1451,30,4,"Pro, in terms of the intangible aspects such as emotional and mental development of the future generations and contribution to a country's well reputation.","It is an advantage, in terms of the intangible aspects, such as emotional and mental development of  future generations and contribution to a country's good reputation.","['Sfrag', 'Mec', 'ArtOrDet', 'Wform']",4,official.sgml,True,False
1455,31,0,"Most of the illness lies with mental illness, musculoskeletal pain and sight and hearing loss.","Most of the illness is associated with mental illness, musculoskeletal pain, and sight and hearing loss.","['Wci', 'Mec']",2,official.sgml,True,False
1461,31,1,"As the amount of stress, the types of food mixed with chemicals and the quality of living in terms of environment were getting worst.","As the amount of stress, the types of food mixed with chemicals, and the quality of living in terms of environment  get worse.","['Mec', 'Vform', 'Vt', 'Wform']",4,official.sgml,True,False
1466,31,1,Therefore the challenge is that we need to maintain or improve the state of living is a huge challenge.,"Therefore, the challenge is that we need to maintain or improve the state of living is  huge .","['Mec', 'ArtOrDet', 'Rloc-']",3,official.sgml,True,False
1470,31,2,"Therefore, achieving such great fret, in these areas is considered as an achievement where human lives is then improved and extended the life of us.","Therefore, achieving such a great feat in these areas is considered  an achievement because human lives have been  improved and extended .","['ArtOrDet', 'Mec', 'Mec', 'Trans', 'Trans', 'Vt', 'Trans', 'Rloc-']",8,official.sgml,True,False
1471,31,3,"Moreover, achieving the near impossible to eliminate all the illness such as cancer and diseases is the greatest achievement for human race.","Moreover, achieving the near impossible to eliminate all  illness, such as cancer, would be the greatest achievement for the human race.","['ArtOrDet', 'Mec', 'Mec', 'Rloc-', 'Vm', 'ArtOrDet']",6,official.sgml,True,False
1486,32,1,"For these older people, the society need man power and all kinds of resources to provide a better life for them.","For these older people,  society needs manpower and all kinds of resources to provide a better life for them.","['ArtOrDet', 'SVA', 'Mec']",3,official.sgml,True,False
